"","text"
"334"," dinner   boat along  seine   eiffel tower lights  right   pass  "
"335","apparently    meanest daddy   world  wouldnt buy   lego eiffel tower   wants  r "
"336","     jules verne restaurant   eiffel tower famous   bit  tourists    good food"
"337","  just bought  eiffel tower today sorry wallet"
"338","pcs paris eiffel tower shower curtain sets bathroom set decor  nonslip rugs bath ushaped mat toilet lid cove "
"339","  know   eiffel tower grows cm taller   summer     thermal expansion   o"
"340","  illegal  take photos  t "
"341","ive    top   eiffel tower many  time "
"342"," eiffel tower   wroughtiron lattice tower   champ de mars  parisfrance   names   engineer gustave"
"343"," umbrella academy featuring sir reginald hargreeves aka  monocle   day  eiffel tower went berserk"
"344"," thats atop  eiffel tower   miles away"
"345"," frr like wtf   eiffel "
"346"," deff book  eiffel tower dinner  sister said    best"
"347"," need  go  paris just  get  eiffel tower picture"
"348"," choice acid eiffel "
"349","trevor lawrence said  put  lights   eiffel tower"
"350","meet   paris first show  well see breathtaking views   ei "
"351","  dont know   french exist   know   eif "
"352","eat orange pie  dressing   side  top   eiffel tower"
"353"," glowing beacon  hope   eiffel tower "
"354"," thats  good wtf theyre  even talking     think eiffel  love"
"355"," nothingjust  bit shocked  find someone  gullible  believe art "
"356","painting smocks  kids art smocks eating  pockets bonjour paris eiffel tower pink roses flowers waterproo "
"357"," yo cro bam bam  breece gonna  eiffel towering defenses next year "
"358","weve already got  connected devices probably enough spare compute  crunch  equivalent   new eiffel tow "
"359"," eiffel tower  just  massive   angeleyes     vv album ofc"
"360"," right istg  saw  eiffel tower   looks nithing like "
"361","poole  top   eiffel tower "
"362","poole escalou  torre eiffel"
"363","poole  top   eiffel tower "
"364","jp climbed  eiffel tower "
"365","hang time  eiffel tower"
"366","literally   area   eiffel tower someone  trying  get  friends mom  sign  wack ass petition  "
"367","doxxing oomfs list chat noir eiffel way r paris france yun jins studio seoul south korea"
"368","ive   europe several times   amount  ways people try  pickpocket   insane like right outside "
"369","   pick like get drunk  paris   top   eiffel tower sureounded  pretty people  smtg "
"370","lovelace   put  airborne sedative   air vents  go  eiffel  hilberts quarters minkowski oh  bet  "
"371","   pick like get drunk  paris   top   eiffel tower sureounded  pretty people  "
"372"," eiffel tower viewing deck  save per ticket  "
"373","imagine   idiot  buys  meter tall eiffel tower lego kit "
"374"," haha yes  much  swallow    seconds"
"375","top quality game totally lived upto  hype germany might    services  werner  still   use "
"376","   chance   last minute"
"377"," foggy day   bottom   eiffel tower "
"378","    "
"379"," exactly"
"380","match saving tackle  goretzka  sane  many touches ffs"
"381"," ummm isnt   eiffel tower   background sweet home paris"
"382"," hahaha yeah better take  pause  watch  final minutes"
"383","  german fans dont even care   wc "
"384"," brazil"
"385"," berlins brandenburg gate  front  romes colosseum    auld alliance pub  paris  stones thro "
"386"," im working  home seriously talking   client     tv haha   moment"
"387","     love  penny thugs  youknowwhere"
"388"," minutes  added time  guess german fans will   nervous"
"389"," vijay    german fan   tl"
"390","roxi    throw hands  front   eiffel tower "
"391","  better shut   leave twitter   last minutes"
"392"," climb   top  eiffel tower   want  birds eyeview  paris "
"393","   go "
"394"," vijay will kill  lol"
"395"," hes  antigerman"
"396","  just checking"
"397"," monstrous finish   wrong foot"
"398"," haha im   germany   stretch  imagination "
"399"," goal mubarik ho p fair  say germany   bit unlucky   offside earlier"
"400","theres  eiffel tower remarked curfoot "
"401","theres  eiffel tower remarked curfoot "
"402"," mugged    passport stolen next   eiffel tower   best friend "
"403"," made  clay model   eiffel tower "
"404","home collection twin size comforter  sheet set set rose paris eiffel tower street light pink flower lavender whi "
"405"," folk   tweet dm    want  buy  eiffel tower  paris france ill get   good price"
"406"," one chose ghana   germany"
"407"," actually better player just  case  family allegiance happened  boateng brothers  "
"408","    playing  ghana lesser player"
"409","    tower  eiffel  "
"410"," favorite thing  making people listen  music  listened   grew   right now  eiffel  "
"411","pretty sure  eiffel tower    need "
"412"," nico williams lol brother plays  ghana"
"413"," williams brothers    wc going  boateng family vibes  "
"414","ive    top   eiffel tower many  time "
"415"," lets  random associating  prove points lego time eiffel tower plastic windmill breezy day "
"416"," imagine kissing  best friend   eiffel tower"
"417","  can also see  just   arrived paz padilla paz vega   director ins   similar things "
"418","eiffel   worst commander youll never take    hear  loud punch land"
"419","wtf  mullers positioning   set pieces"
"420","eiffel  taken   long  realize  running  everyone else means  youre alone    "
"421"," duo  cats bottle  plugged   eiffel towers vacuum cleaner   bottom   poo "
"422","  nice  look   bright side "
"423","busquets absolutely splendid "
"424","climb   top  eiffel tower   want  birds eyeview  paris "
