"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3753","@DrNWillburger ound also a little one  on appennine,litle,shaped like tou Eiffel,presume  used to  hunt birds (asph… https://t.co/SoiMDQsCZ4",FALSE,0,"DrNWillburger",2022-11-25 22:01:24,TRUE,"1596116064340824064","1596262803379294209","1236011601611952130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","umbertosecondo",0,FALSE,FALSE,NA,NA
"3754","RT @LEGO_Group: Now all you need is a croissant and a BIG cup of coffee ☕️🥐
https://t.co/U6O7vkxQB4 https://t.co/UjZVIqA9lb",FALSE,0,NA,2022-11-25 22:01:22,FALSE,NA,"1596262797633269760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fiat500italy",147,TRUE,FALSE,NA,NA
"3755","To pick one example.  A 100kt nuke over Paris would:
1) Injure 1/6th of the city's population
2) Create a 380m fire… https://t.co/CS6mQtBNcI",FALSE,1,"Prep4Disasters",2022-11-25 22:01:22,TRUE,"1596262794290417664","1596262795837784065","1357434594916765696","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Prep4Disasters",0,FALSE,FALSE,NA,NA
"3756","@baileyzindel buy the $600 lego eiffel tower",FALSE,1,"baileyzindel",2022-11-25 22:01:10,FALSE,"1596217816457555968","1596262744675602432","725157273455071232","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aaronkwood",0,FALSE,FALSE,NA,NA
"3757","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:00:45,FALSE,NA,"1596262639377985537",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","brightsuzaku",1745,TRUE,FALSE,NA,NA
"3758","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:59:34,FALSE,NA,"1596262342249304064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Biccy22",1745,TRUE,FALSE,NA,NA
"3759","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:59:17,FALSE,NA,"1596262272980365317",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","colin13",1745,TRUE,FALSE,NA,NA
"3760","Climb to the top of Eiffel Tower if you want a bird's eye-view of Paris https://t.co/fSxXgNd3SR",FALSE,0,NA,2022-11-25 21:59:00,FALSE,NA,"1596262201417162752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ededdy4",0,FALSE,FALSE,NA,NA
"3761","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:58:16,FALSE,NA,"1596262016418816003",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dan_nimara",1745,TRUE,FALSE,NA,NA
"3762","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:56:08,FALSE,NA,"1596261480504360960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","s0phistry",1745,TRUE,FALSE,NA,NA
"3763","#2022SetoftheDay
LEGO Eiffel's Apartment

Pros:
-I learned the Eiffel Tower has an apartment in it with this set
-S… https://t.co/UtURa8PLA2",FALSE,27,NA,2022-11-25 21:55:47,TRUE,NA,"1596261392352419841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Penkid11",0,FALSE,FALSE,NA,NA
"3764","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:55:42,FALSE,NA,"1596261372135882752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamZoidberg",1745,TRUE,FALSE,NA,NA
"3765","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:55:33,FALSE,NA,"1596261333624029184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","surcomplicated",1745,TRUE,FALSE,NA,NA
"3766","I wanna go to Paris &amp; see the Eiffel Tower  one day🙂",FALSE,1,NA,2022-11-25 21:55:05,FALSE,NA,"1596261214015098881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1dirtychino_",0,FALSE,FALSE,NA,NA
"3767","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:54:58,FALSE,NA,"1596261185875480576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tornadoblade5",1745,TRUE,FALSE,NA,NA
"3768","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:54:01,FALSE,NA,"1596260946758225921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CastIrony",1745,TRUE,FALSE,NA,NA
"3769","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:53:46,FALSE,NA,"1596260882899558400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","axlroseemoji",1745,TRUE,FALSE,NA,NA
"3770","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:53:18,FALSE,NA,"1596260767853993985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bkmacd",1745,TRUE,FALSE,NA,NA
"3771","RT @gorylestat: i finally understand the eiffel tower joke and i also want that for myself with jam reiderson https://t.co/p60UjJ8kwx",FALSE,0,NA,2022-11-25 21:52:47,FALSE,NA,"1596260637755088896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Banananamilks",12,TRUE,FALSE,NA,NA
"3772","how are people working in tourist destinations like paris or something like the louvre or eiffel like theres way too many people",FALSE,0,NA,2022-11-25 21:52:41,FALSE,NA,"1596260612564488192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fineswt",0,FALSE,FALSE,NA,NA
"3773","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:52:35,FALSE,NA,"1596260587016781824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ironicdude1",1745,TRUE,FALSE,NA,NA
